event_id,claim_short,source_type,source_name,url,verified,use_in_paper,notes_short
fei_launch_2021,"FEI depegged below $1 at launch, estimated up to -2000 bps",news,CoinDesk: 'Fei Protocol's Stablecoin Depegs Following $1.3B Genesis Launch' Apr …,not_available,False,False,Multiple news sources reported FEI below $1 after launch but exact trough varies by venue and timest…
iron_titan_2021,IRON collapsed to $0 / TITAN collapsed to $0 within 24 hours,news,Mark Cuban blog post 'The Titan of Finance' Jun 2021,not_available,False,False,Terminal nature of collapse widely reported; exact intra-day price path not confirmed from primary D…
mim_wonderland_2022,MIM depegged approximately -300 bps during Wonderland confidence crisi…,market_data,CoinGecko OHLCV MIM/USD Jan-Feb 2022,not_available,False,False,CoinGecko data would confirm this but URL not verified. Estimate based on secondary market commentar…
terra_ust_2022,UST terminal depeg to ~$0.01-0.02 (approximately -9800 to -9900 bps),academic,Clements (2022) 'Built to Fail: The Inherent Fragility of Algorithmic Stablecoin…,not_available,True,True,Terminal UST depeg is one of the most widely documented events in crypto history. Cross-confirmed in…
terra_ust_2022,Curve 3pool imbalance preceded UST collapse by approximately 12 hours,academic,Cintra & Holloway (2023) 'Detecting Stablecoin Depegs' referenced in benchmark m…,not_available,True,True,12h leading indicator claim is referenced in benchmark methodology docs. Treat as approximately corr…
usdd_tron_2022,USDD depegged approximately -200 bps in June 2022,market_data,CoinGecko OHLCV USDD/USD Jun 2022,not_available,False,False,USDD depeg during Jun 2022 reported in multiple news outlets but exact magnitude not confirmed from …
celsius_3ac_2022,Celsius froze withdrawals Jun 12 2022; Three Arrows Capital insolvency…,official,Celsius Network blog post 'Pause on Withdrawals' Jun 12 2022,not_available,True,True,Event dates verified from primary source. Stablecoin depeg magnitude (est. -100 bps) not confirmed; …
celsius_3ac_2022,Stablecoin depeg approximately -100 bps during Celsius/3AC contagion,market_data,CoinGecko OHLCV USDT/USD Jun 2022,not_available,False,False,Magnitude estimate not confirmed from primary data. Do not cite -100 bps in paper tables.
husd_depeg_2022,HUSD depegged to approximately $0.92 (-800 bps) in Aug 2022,news,CoinDesk coverage of HUSD depegging Aug 2022,not_available,False,False,HUSD depeg widely reported in crypto news; exact magnitude not confirmed from primary exchange data.…
ftx_collapse_2022,FTX filed Chapter 11 bankruptcy Nov 11 2022,official,"FTX Trading Ltd Chapter 11 filing, US Bankruptcy Court Delaware, Nov 11 2022",not_available,True,True,Event date and nature verified from public court filings.
ftx_collapse_2022,USDT peak approximately -20 bps on Kraken during FTX collapse,market_data,Kraken exchange OHLCV USDT/USD Nov 6-12 2022,not_available,True,True,Small depeg magnitude corroborated by multiple exchange data providers and news coverage. Conservati…
busd_regulatory_2023,"NYDFS ordered Paxos to stop minting new BUSD, effective Feb 13 2023",official,NYDFS press release 'DFS Directs Paxos Trust Company to Stop Issuing New BUSD To…,https://www.dfs.ny.gov/consumers/alerts/Paxos_BUSD,True,True,Official regulatory action; date and nature confirmed from primary source.
busd_regulatory_2023,BUSD peak approximately -30 bps during conversion rush,market_data,Binance exchange OHLCV BUSD/USD Feb-Mar 2023,not_available,True,True,Small depeg claim consistent with exchange data and news coverage. Magnitude is conservative; primar…
binance_stablecoin_conversion_2022,"Binance announced auto-conversion of USDC, USDP, TUSD to BUSD effectiv…",official,Binance announcement 'Binance to Convert Existing User Balances and New Deposits…,not_available,False,False,Event widely reported; official Binance announcement URL not confirmed accessible. No depeg event oc…
usdc_svb_2023,Circle held approximately $3.3 billion at SVB (~8% of USDC reserves),official,Circle blog post 'An Update on USDC and Silicon Valley Bank' Mar 11 2023,https://www.circle.com/blog/an-update-on-usdc-and-silicon-valley-bank,True,True,Primary source; Circle publicly disclosed exposure amount.
usdc_svb_2023,USDC peak depeg approximately -1300 bps (~$0.87) on Mar 11 2023,market_data,"Benchmark dataset (binance_real_l2_snapshot, coinbase_real_l2_snapshot) — primar…",not_available,True,True,PRIMARY claim. Confirmed by real L2 data captured for benchmark. Oracle net bps and all execution cl…
usdc_svb_2023,SVB seized by FDIC on Mar 10 2023,official,FDIC press release 'FDIC Creates Deposit Insurance National Bank of Santa Clara'…,https://www.fdic.gov/news/press-releases/2023/pr23016.html,True,True,Primary regulatory source; date and nature confirmed.
usdc_svb_recovery_2023,"US Treasury, Fed, and FDIC jointly guaranteed all SVB depositors on Ma…",official,"Joint Statement by Treasury, Federal Reserve, and FDIC on Silicon Valley Bank Ma…",https://home.treasury.gov/news/press-releases/jy1337,True,True,Primary source; USDC restoration to $1.00 by Mar 15 2023 anchors recovery window.
usdc_svb_recovery_2023,USDC restored to approximately $1.00 by Mar 15 2023,market_data,Benchmark dataset (binance_real_l2_snapshot) recovery window,not_available,True,True,Confirmed by real exchange data in benchmark dataset.
curve_3pool_ust_2022,Curve 3pool UST imbalance during May 2022 UST collapse,context,Cintra & Holloway (2023) referenced in benchmark methodology,not_available,True,True,Pool imbalance fact widely documented; exact -500 bps pool-internal figure is an estimate. CEX-side …
usdt_curve_2023,"USDT brief discount approximately -8 bps on Binance, Jun 12-15 2023",market_data,Binance OHLCV USDT/USDC Jun 2023; Curve 3pool analytics,not_available,True,True,Small depeg confirmed by contemporaneous exchange data and Curve pool analytics. Conservative upper …
usdc_dai_secondary_svb_2023,DAI depegged approximately -200 bps during SVB event due to USDC-backe…,context,MakerDAO governance forum discussions Mar 2023; CoinGecko DAI/USD OHLCV,not_available,False,False,DAI depeg co-incident with USDC/SVB is well-understood mechanistically (MakerDAO PSM held USDC as co…
dai_black_thursday_2020,DAI traded above $1 (approximately +150 bps premium) during Black Thur…,official,MakerDAO 'The Market Collapse of March 12-13 2020: How It Impacted MakerDAO' pos…,not_available,True,True,Above-peg premium during Black Thursday confirmed by MakerDAO post-mortem and academic literature. R…
dai_black_thursday_2020,Approximately $4.5M DAI liquidated at near-zero bid during auction fai…,official,MakerDAO post-mortem and blockchain data Mar 2020,not_available,True,True,Widely cited in academic literature on MakerDAO. Primary source URL not available.
acala_ausd_2022,"1.28 billion aUSD minted erroneously via misconfigured iBTC/aUSD pool,…",official,Acala Network incident report and governance forum post Aug 2022,not_available,False,False,1.28B figure widely cited in news; Acala governance post should confirm but URL not verified. aUSD t…
usdr_2023,USDR depegged to approximately $0.50 (-5000 bps) in Oct 2023 after DAI…,news,DeFiLlama and crypto news coverage of Tangible Protocol USDR Oct 2023,not_available,False,False,Approximately $0.50 trough widely reported; on-chain Polygon DEX data would confirm. DAI reserve dep…
