event_id,event_name,stablecoin,mechanism_class,data_tier,start_date,role_in_paper,n_minutes,data_source,max_abs_basis_bps,pct_gt_10bps,pct_gt_25bps,pct_gt_50bps,usdc_pct_gt_10bps,spread_bps_mean,exec_label_available,exec_positive_rate_5m_q10k,net_profit_gt10bps_rate,claim_allowed,empirical_use
dai_black_thursday_2020,DAI Black Thursday 2020,"DAI, ETH",collateral_liquidation_oracle,B,2020-03-12,context_collateral,,"coinbase_ohlcv, makerdao_vault_data, ethereum_onchain_liquidations",150.0,,,,,,False,,,price-grade estimates only (est.),Taxonomy context only; collateral-side stress illustration
fei_launch_2021,FEI Launch Stress 2021,FEI,algorithmic_reflexive,C,2021-04-01,context,,"coingecko_ohlcv, uniswap_v2_swaps",2000.0,,,,,,False,,,taxonomy context only; no numerical claims,Taxonomy context only; no benchmark tasks
iron_titan_2021,IRON/TITAN Collapse 2021,IRON,algorithmic_reflexive,C,2021-06-16,context,,"coingecko_ohlcv, polygon_dex_swaps",10000.0,,,,,,False,,,taxonomy context only; no numerical claims,Taxonomy context only; no benchmark tasks
mim_wonderland_2022,MIM/Wonderland Shock 2022,MIM,algorithmic_reflexive,B,2022-01-27,context,,"coingecko_ohlcv, curve_mim_3pool_reserves, abracadabra_onchain",300.0,,,,,,False,,,price-grade estimates only (est.),Taxonomy context only; price-basis claims only if confirmed
terra_ust_2022,Terra/UST Collapse 2022,"UST, USDT",algorithmic_reflexive,B,2022-05-07,validation_split,11523,dataset.parquet (real L2),207.2,13.76,1.08,0.35,11.11,19.01,True,3.08,2.3,price-grade estimates only (est.),Validation split illustrative; price-basis claims only
usdd_tron_2022,USDD/TRON Stress 2022,USDD,algorithmic_reflexive,B,2022-06-13,context,,"coingecko_ohlcv, huobi_ohlcv, poloniex_ohlcv",200.0,,,,,,False,,,price-grade estimates only (est.),Taxonomy context only; not in benchmark splits
celsius_3ac_2022,Celsius/3AC Contagion 2022,"USDT, USDC",exchange_credit_liquidity,B,2022-06-10,context,,"binance_ohlcv, coinbase_ohlcv, curve_steth_pool_reserves, onchain_celsius_outflows",100.0,,,,,,False,,,price-grade estimates only (est.),Taxonomy context only; liquidity contagion illustration
curve_3pool_ust_2022,Curve 3Pool Imbalance 2022,"UST, USDC",defi_pool_imbalance,B,2022-05-07,context_defi_pool,,"curve_pool_reserves, subgraph_curve_swaps, coingecko_ohlcv",500.0,,,,,,False,,,price-grade estimates only (est.),DeFi contagion mechanism illustration; co-incident with terra_ust_2022
binance_stablecoin_conversion_2022,Binance USDC→BUSD Conv. 2022,"BUSD, USDC",regulatory_issuer_winddown,C,2022-09-01,context,,"binance_ohlcv, binance_announcements",0.0,,,,,,False,,,taxonomy context only; no numerical claims,"Context only; operational/policy event, not a stress event"
husd_depeg_2022,HUSD Issuer Failure 2022,HUSD,exchange_credit_liquidity,B,2022-08-18,context,,"coingecko_ohlcv, huobi_ohlcv, huobi_partial_orderbook",800.0,,,,,,False,,,price-grade estimates only (est.),Taxonomy context only; not in benchmark splits
ftx_collapse_2022,FTX Collapse 2022,"USDT, USDC",exchange_credit_liquidity,B,2022-11-06,context_exchange_credit,,"binance_ohlcv, coinbase_ohlcv, kraken_ohlcv, binance_partial_orderbook, usdt_onchain_movements",50.0,,,,,,False,,,price-grade estimates only (est.),Illustrative exchange-specific credit shock; not in benchmark splits
usdc_svb_2023,USDC/SVB De-peg 2023,"USDC, DAI",fiat_reserve_bank_shock,A,2023-03-10,primary_test_split,15839,dataset.parquet (real L2),956.4,35.09,9.63,6.17,12.65,23.83,True,5.76,2.88,"execution-grade: oracle bps, net bps, model eval",PRIMARY benchmark test split; all paper claims anchored here
usdc_svb_recovery_2023,USDC/SVB Recovery 2023,"USDC, DAI",fiat_reserve_bank_shock,A,2023-03-15,test_split_comparator,incl. in test,dataset.parquet (real L2),956.4,35.09,9.63,6.17,12.65,23.83,True,5.76,2.88,"execution-grade: oracle bps, net bps, model eval",Test split recovery window; validates regime generalization
busd_regulatory_2023,BUSD Regulatory 2023,"BUSD, USDC",regulatory_issuer_winddown,B,2023-02-13,context_regulatory,,"binance_ohlcv, binance_partial_orderbook, paxos_attestation_reports",30.0,,,,,,False,,,price-grade estimates only (est.),Illustrative regulatory winddown dynamics; not in primary benchmark splits
usdc_dai_secondary_svb_2023,USDC/DAI DeFi Secondary 2023,"USDC, DAI",defi_pool_imbalance,B,2023-03-10,context,,"curve_pool_reserves, makerdao_psm_data, coingecko_ohlcv",200.0,,,,,,False,,,price-grade estimates only (est.),DeFi contagion illustration co-incident with usdc_svb_2023; not separately benchmarked
usdt_curve_2023,USDT/Curve Pool 2023,"USDT, USDC",defi_pool_imbalance,B,2023-06-12,context_defi_pool,,"binance_ohlcv, coinbase_ohlcv, curve_pool_reserves, usdt_onchain_transfers",80.0,,,,,,False,,,price-grade estimates only (est.),Out-of-sample illustrative; motivates on-chain Curve data integration
acala_ausd_2022,Acala aUSD Exploit 2022,aUSD,rwa_niche_stablecoin,C,2022-08-14,context,,"acala_onchain_data, coingecko_ohlcv",9900.0,,,,,,False,,,taxonomy context only; no numerical claims,Taxonomy context only; exploit/hack mechanism
usdr_2023,USDR RWA Failure 2023,USDR,rwa_niche_stablecoin,B,2023-10-11,context,,"coingecko_ohlcv, tangible_protocol_onchain, polygon_dex_swaps",5000.0,,,,,,False,,,price-grade estimates only (est.),Taxonomy context only; real-world-asset backing stress illustration
