event_id,n_minutes,max_basis_bps,mean_basis_bps,pct_above_10bps,pct_above_50bps,pct_above_100bps,depeg_episode_count,duration_hours,data_sources_used,is_synthetic,claim_level,notes
fei_launch_2021,4320,2000.0,600.0,79.6,78.0,76.0,3,72.0,coingecko_ohlcv; uniswap_v2_swaps,True,price_grade,Synthetic summary — Tier C event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-2000 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
iron_titan_2021,360,10000.0,3000.0,39.96,39.8,39.6,1,6.0,coingecko_ohlcv; polygon_dex_swaps,True,price_grade,Synthetic summary — Tier C event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-10000 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
mim_wonderland_2022,4320,300.0,90.0,77.33,66.67,53.33,3,72.0,coingecko_ohlcv; curve_mim_3pool_reserves; abracadabra_onchain,True,price_grade,Synthetic summary — Tier B event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-300 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
terra_ust_2022,20160,10000.0,3000.0,79.92,79.6,79.2,7,336.0,binance_ohlcv; coinbase_ohlcv; kraken_ohlcv; curve_pool_reserves; terra_onchain_transactions,True,price_grade,Synthetic summary — Tier B event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-10000 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
usdd_tron_2022,4320,200.0,60.0,76.0,60.0,40.0,3,72.0,coingecko_ohlcv; huobi_ohlcv; poloniex_ohlcv,True,price_grade,Synthetic summary — Tier B event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-200 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
celsius_3ac_2022,20160,100.0,30.0,72.0,40.0,0.0,7,336.0,binance_ohlcv; coinbase_ohlcv; curve_steth_pool_reserves; onchain_celsius_outflows,True,price_grade,Synthetic summary — Tier B event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-100 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
husd_depeg_2022,4320,800.0,240.0,79.0,75.0,70.0,3,72.0,coingecko_ohlcv; huobi_ohlcv; huobi_partial_orderbook,True,price_grade,Synthetic summary — Tier B event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-800 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
ftx_collapse_2022,4320,50.0,15.0,64.0,0.0,0.0,3,72.0,binance_ohlcv; coinbase_ohlcv; kraken_ohlcv; binance_partial_orderbook; usdt_onchain_movements,True,price_grade,Synthetic summary — Tier B event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-50 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
busd_regulatory_2023,20160,30.0,9.0,53.33,0.0,0.0,7,336.0,binance_ohlcv; binance_partial_orderbook; paxos_attestation_reports,True,price_grade,Synthetic summary — Tier B event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-30 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
binance_stablecoin_conversion_2022,20160,0.0,0.0,0.0,0.0,0.0,7,336.0,binance_ohlcv; binance_announcements,True,price_grade,Synthetic summary — Tier C event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (0 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
usdc_svb_2023,7200,1300.0,325.0,35.09,20.0,10.0,3,120.0,binance_real_l2_snapshot; coinbase_real_l2_snapshot; kraken_real_l2_snapshot; binance_trade_tape; coinbase_trade_tape; kraken_trade_tape; usdc_onchain_redemptions,False,execution_grade,Tier A: execution-grade values from benchmark dataset.
usdc_svb_recovery_2023,24480,10.0,2.5,2.0,0.5,0.1,1,408.0,binance_real_l2_snapshot; coinbase_real_l2_snapshot; kraken_real_l2_snapshot; binance_trade_tape; coinbase_trade_tape,False,execution_grade,Tier A: execution-grade values from benchmark dataset.
curve_3pool_ust_2022,4320,500.0,150.0,78.4,72.0,64.0,3,72.0,curve_pool_reserves; subgraph_curve_swaps; coingecko_ohlcv,True,price_grade,Synthetic summary — Tier B event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-500 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
usdt_curve_2023,4320,80.0,24.0,70.0,30.0,0.0,3,72.0,binance_ohlcv; coinbase_ohlcv; curve_pool_reserves; usdt_onchain_transfers,True,price_grade,Synthetic summary — Tier B event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-80 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
usdc_dai_secondary_svb_2023,4320,200.0,60.0,76.0,60.0,40.0,3,72.0,curve_pool_reserves; makerdao_psm_data; coingecko_ohlcv,True,price_grade,Synthetic summary — Tier B event. No raw OHLCV data pulled. Estimates derived from max_depeg_bps_est (-200 bps) in event_windows_historical.yaml. Use 'est.' notation in any paper reference; do not cite exact percentages.
